Período;Período.Format.2;Região;Instituição;Localização Geográfica;Urgências Geral;Urgências Pediátricas;Urgência Obstetricia;Urgência Psiquiátrica;Total Urgências
2013-07;2013/07/01;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;76353;25055;7097;;108505
2013-08;2013/08/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;68855;10615;2698;;82168
2013-08;2013/08/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;47784;8489;2554;;58827
2013-08;2013/08/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;68283;24199;6318;;98800
2013-08;2013/08/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;96527;25977;8688;;131192
2013-08;2013/08/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;34427;14111;;;48538
2013-09;2013/09/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;76684;11582;3058;;91324
2013-09;2013/09/01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;120437;56447;8272;;185156
2013-09;2013/09/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;96100;28530;4438;;129068
2013-09;2013/09/01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;60052;29573;9262;;98887
2013-09;2013/09/01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;118401;29222;11209;;158832
2013-09;2013/09/01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;55307;20683;4641;;80631
2013-09;2013/09/01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;61398;26485;6608;;94491
2013-09;2013/09/01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;145370;56739;10341;;212450
2013-09;2013/09/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;38535;15401;;;53936
2013-10;2013/10/01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;167400;50405;23050;;240855
2013-10;2013/10/01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;44286;16386;;;60672
2013-10;2013/10/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;84960;30697;7943;;123600
2013-10;2013/10/01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;90802;27485;12593;;130880
2013-10;2013/10/01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;65229;;;;65229
2013-10;2013/10/01;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;109474;34606;10440;;154520
2013-10;2013/10/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;61619;;6672;;68291
2013-11;2013/11/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;47331;18404;;;65735
2013-11;2013/11/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;115371;36621;5426;;157418
2013-11;2013/11/01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;136411;70880;19395;6868;233554
2013-11;2013/11/01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;86184;30000;3913;;120097
2013-11;2013/11/01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;124753;31926;7968;;164647
2013-11;2013/11/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;119481;20855;4594;;144930
2013-11;2013/11/01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;110534;;;;110534
2013-12;2013/12/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;82718;10322;1020;;94060
2013-12;2013/12/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;125213;40324;5913;;171450
2013-12;2013/12/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;70222;12306;3751;;86279
2013-12;2013/12/01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;49738;13776;1280;;64794
2013-12;2013/12/01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;108233;33597;14977;;156807
2013-12;2013/12/01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;141516;53690;11816;;207022
2013-12;2013/12/01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;120407;53217;11500;;185124
2013-12;2013/12/01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;74665;29193;6374;;110232
2013-12;2013/12/01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;190917;79136;13695;;283748
2013-12;2013/12/01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;118895;;12576;;131471
2013-12;2013/12/01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;78471;;;;78471
2014-01;2014/01/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;8754;;;;8754
2014-01;2014/01/01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;16187;5614;2271;;24072
2014-01;2014/01/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;7544;5571;1261;;14376
2014-01;2014/01/01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;13935;2394;268;;16597
2014-01;2014/01/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;4466;2191;;;6657
2014-02;2014/02/01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;23812;14315;3331;1136;42594
2014-02;2014/02/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;19497;5643;388;;25528
2014-02;2014/02/01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;13165;7274;1204;;21643
2014-02;2014/02/01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;18760;7853;1853;;28466
2014-02;2014/02/01;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;20970;8149;1958;;31077
2014-02;2014/02/01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;20688;;;;20688
2014-03;2014/03/01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;35880;21034;5002;1737;63653
2014-03;2014/03/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;21492;15096;3703;;40291
2014-03;2014/03/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;18921;;1994;;20915
2014-03;2014/03/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;32929;6766;994;;40689
2014-04;2014/04/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;17145;7305;;;24450
2014-04;2014/04/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;34944;5460;1181;;41585
2014-04;2014/04/01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;63729;21255;8738;;93722
2014-04;2014/04/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;38603;10077;743;;49423
2014-04;2014/04/01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;41458;20029;3921;;65408
2014-04;2014/04/01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;51328;7844;1067;;60239
2014-04;2014/04/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;25252;;2691;;27943
2014-05;2014/05/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;43776;6871;1470;;52117
2014-05;2014/05/01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;52464;15578;5815;;73857
2014-05;2014/05/01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;47135;22287;3916;;73338
2014-05;2014/05/01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;52256;25281;4972;;82509
2014-05;2014/05/01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;76198;36136;5472;0;117806
2014-05;2014/05/01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;55469;15068;3417;;73954
2014-05;2014/05/01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;64278;9626;1382;;75286
2014-05;2014/05/01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;48282;19346;4853;;72481
2014-05;2014/05/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;54752;10659;1718;;67129
2014-06;2014/06/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;25974;11038;;;37012
2014-06;2014/06/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;52343;8105;1776;;62224
2014-06;2014/06/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;47223;;;;47223
2014-06;2014/06/01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;28253;8927;688;;37868
2014-06;2014/06/01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;63107;18769;6943;;88819
2014-06;2014/06/01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;39989;22195;6222;;68406
2014-06;2014/06/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;58160;14815;1113;;74088
2014-06;2014/06/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;43302;28553;7517;;79372
2014-06;2014/06/01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;62567;29875;6027;;98469
2014-06;2014/06/01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;39297;16847;3552;;59696
2014-06;2014/06/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;73021;20405;6177;;99603
2014-07;2014/07/01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;88599;23594;8772;;120965
2014-07;2014/07/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;67844;16687;1334;;85865
2014-07;2014/07/01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;109442;36402;11195;;157039
2014-07;2014/07/01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;68951;25969;6822;;101742
2014-07;2014/07/01;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;76394;26457;7534;;110385
2014-08;2014/08/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;90080;15766;2919;;108765
2014-09;2014/09/01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;107665;31560;7973;;147198
2014-09;2014/09/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;54486;9024;3121;;66631
2014-09;2014/09/01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;88640;36480;7505;;132625
2014-09;2014/09/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;65557;39404;11640;;116601
2014-09;2014/09/01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;59411;23126;5739;;88276
2014-09;2014/09/01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;140262;44263;14889;;199414
2014-09;2014/09/01;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;77740;26806;5301;;109847
2014-09;2014/09/01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;69710;24683;4073;;98466
2014-09;2014/09/01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;87161;;;;87161
2014-10;2014/10/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;80586;;;;80586
2014-10;2014/10/01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;160837;49569;23406;;233812
2014-10;2014/10/01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;107593;30541;11929;;150063
2014-10;2014/10/01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;42399;16444;;;58843
2014-10;2014/10/01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;124352;62298;18131;6171;210952
2014-10;2014/10/01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;104749;46490;10388;;161627
2014-10;2014/10/01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;156509;49965;16699;;223173
2014-10;2014/10/01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;99778;35991;10151;;145920
2014-10;2014/10/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;65136;;6846;;71982
2014-10;2014/10/01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;96144;;;;96144
2014-11;2014/11/01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;44329;12328;1062;;57719
2014-11;2014/11/01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;139091;36909;13795;;189795
2014-11;2014/11/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;106563;24805;2209;;133577
2014-11;2014/11/01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;74261;33473;8142;;115876
2014-11;2014/11/01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;81423;39616;14516;;135555
2014-11;2014/11/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;136318;35810;11945;;184073
2014-11;2014/11/01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;109178;40408;11153;;160739
2014-12;2014/12/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;102773;15215;3659;;121647
2014-12;2014/12/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;95959;;;;95959
2014-12;2014/12/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;82951;10153;1048;;94152
2014-12;2014/12/01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;142923;43376;10686;;196985
2014-12;2014/12/01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;50876;20212;;;71088
2014-12;2014/12/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;100051;35979;9287;;145317
2014-12;2014/12/01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;125701;58314;12568;;196583
2014-12;2014/12/01;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;103582;37893;7030;;148505
2014-12;2014/12/01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;135824;35783;8634;;180241
2014-12;2014/12/01;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;132730;45704;13588;;192022
2014-12;2014/12/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;48824;18949;;;67773
2014-12;2014/12/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;133811;23265;4318;;161394
2015-01;2015/01/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;9457;3738;734;;13929
2015-01;2015/01/01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;7333;;;;7333
2015-01;2015/01/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;6757;;618;;7375
2015-02;2015/02/01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;13289;8085;2009;;23383
2015-02;2015/02/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;14438;9803;2638;;26879
2015-02;2015/02/01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;24952;13123;2152;0;40227
2015-02;2015/02/01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;21440;6023;1253;;28716
2015-03;2015/03/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;12495;5512;;;18007
2015-03;2015/03/01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;14015;5028;373;;19416
2015-03;2015/03/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;30226;10149;1424;;41799
2015-03;2015/03/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;25116;9245;2144;;36505
2015-03;2015/03/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;21740;15035;3993;;40768
2015-03;2015/03/01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;30110;16245;3410;;49765
2015-03;2015/03/01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;20156;9721;1980;;31857
2015-03;2015/03/01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;19178;;;;19178
2015-03;2015/03/01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;39633;6221;913;;46767
2015-03;2015/03/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;12148;5210;;;17358
2015-03;2015/03/01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;29444;;;;29444
2015-04;2015/04/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;28202;3958;383;;32543
2015-04;2015/04/01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;46469;14489;3653;;64611
2015-04;2015/04/01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;63806;21461;9368;;94635
2015-04;2015/04/01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;42507;13100;4897;;60504
2015-04;2015/04/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;32752;12055;2940;;47747
2015-04;2015/04/01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;26510;12632;2690;;41832
2015-04;2015/04/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;48584;14685;4276;;67545
2015-04;2015/04/01;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;24900;13936;2269;;41105
2015-04;2015/04/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;25317;;2603;;27920
